"hatchery","stock","release_site","brood_year","tag_code","first_release_month","first_release_doy","last_release_doy","avg_weight","release_age","avg_length","Releases","Raw_Recoveries","Exp_Recoveries","SampleRate_obs","Raw_SAR","Expanded_Tags_Type"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R -LOWER",1987,"634204",4,93,93,54.64,2,147,147638,1123,1434.07,0.783085902361809,0.009713,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1980,"632134",4,91,91,54.64,2,NA,24014,47,89,0.528089887640449,0.003706,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1980,"632309",4,91,91,54.64,2,NA,23917,63,96.81,0.650759219088937,0.004048,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1980,"632310",4,91,91,54.64,2,NA,23298,76,120.64,0.629973474801061,0.005178,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1980,"632311",4,91,91,54.64,2,NA,24391,43,53.69,0.800894021233004,0.002201,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1981,"632505",4,94,94,69.77,2,NA,73000,549,844.01,0.650466226703475,0.011562,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1981,"632506",4,94,94,64.79,2,NA,77454,525,827.71,0.634280122265044,0.010686,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1981,"632609",4,94,94,80.99,2,NA,58292,525,761.33,0.689582703952294,0.013061,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1982,"632834",4,94,94,67.7,2,NA,73205,437,645.7,0.676784884621341,0.00882,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1982,"632835",4,94,94,58.9,2,NA,73878,356,521.57,0.682554594781141,0.00706,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1982,"632836",4,94,94,56.69,2,NA,72124,275,400.63,0.68641889024786,0.005555,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1983,"632747",4,99,99,68.72,2,NA,57959,1464,2222.33,0.658768049749587,0.038343,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1983,"632748",4,99,99,64.79,2,NA,53949,1103,1542.67,0.71499413354768,0.028595,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1983,"633054",4,99,99,68.72,2,NA,11871,242,322.03,0.75148278110735,0.027127,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1983,"633055",4,99,99,64.79,2,NA,11286,157,215.4,0.728876508820798,0.019086,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1983,"633056",4,99,99,60.47,2,NA,11127,307,451.18,0.68043796267565,0.040548,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1983,"633122",4,99,99,60.47,2,NA,55903,1936,2615.86,0.740100769918879,0.046793,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1984,"633437",4,91,91,64.79,2,179,22913,189,312.61,0.604587185310771,0.013643,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1984,"633505",4,91,91,64.79,2,179,22875,169,303.95,0.556012502056259,0.013287,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1984,"633506",4,91,91,64.79,2,179,23134,188,376.58,0.499229911307026,0.016278,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1984,"633507",4,91,91,61.29,2,170,23473,238,483.12,0.492631230336148,0.020582,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1984,"633508",4,91,91,61.29,2,170,23273,220,405,0.54320987654321,0.017402,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1984,"633509",4,91,91,61.29,2,170,23019,227,390.16,0.581812589706787,0.016949,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1984,"633510",4,91,91,59.68,2,162,22950,183,342.19,0.534790613401911,0.01491,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1984,"633511",4,91,91,59.68,2,162,22736,262,516.49,0.507270227884373,0.022717,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1984,"633512",4,91,91,59.68,2,162,23074,229,419.91,0.545354957014598,0.018198,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1985,"633833",4,91,91,59.68,2,149,47607,385,762.41,0.50497763670466,0.016015,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1985,"633834",4,91,91,59.68,2,149,47748,343,613.82,0.558795738164283,0.012855,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1985,"633835",4,91,91,59.68,2,151,48034,320,543.08,0.589231789055019,0.011306,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1986,"634161",6,169,169,100.79,1,86,142047,1537,2654.7,0.578973141974611,0.018689,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1989,"630819",5,136,136,12.25,1,102,63978,18,28.82,0.624566273421235,0.00045,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1989,"631132",6,169,169,16.19,1,111,70479,10,15.2,0.657894736842105,0.000216,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1989,"631135",7,186,186,18.89,1,117,70505,41,78.62,0.52149580259476,0.001115,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1989,"631432",4,95,95,85.58,2,197,33791,139,194.45,0.714836718950887,0.005754,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1989,"631435",4,95,95,82.47,2,192,33963,183,263.55,0.694365395560615,0.00776,"RMIS"
"COWLITZ SALMON HATCHERY","COWLITZ R    26.0002","COWLITZ R    26.0002",1989,"631437",4,95,95,75.59,2,185,34003,151,211.28,0.71469140477092,0.006214,"RMIS"
