"release_group","MPR_Groupings","ExpansionStatus","Raw_Recoveries","Exp_Recoveries","SampleRate_obs","Proportion_of_group_raw_recoveries"
"COWLITZ SALMON HATCHERY1980","Alaska Fisheries","notmissing",6,22.24,0.26978417266187,0.0262008733624454
"COWLITZ SALMON HATCHERY1980","Canadian Fisheries","notmissing",25,98.39,0.25409086289257,0.109170305676856
"COWLITZ SALMON HATCHERY1980","Columbia commercial/treaty","notmissing",2,6.32,0.316455696202532,0.00873362445414847
"COWLITZ SALMON HATCHERY1980","Columbia Estuary Sport","notmissing",1,2.92,0.342465753424658,0.00436681222707424
"COWLITZ SALMON HATCHERY1980","Escapement","notmissing",168,184.1,0.91254752851711,0.733624454148472
"COWLITZ SALMON HATCHERY1980","Oregon Fisheries","notmissing",5,10.72,0.466417910447761,0.0218340611353712
"COWLITZ SALMON HATCHERY1980","WA Coastal Commercial/Treaty","notmissing",20,31.06,0.643915003219575,0.0873362445414847
"COWLITZ SALMON HATCHERY1980","WA Coastal Sport","notmissing",2,4.39,0.455580865603645,0.00873362445414847
"COWLITZ SALMON HATCHERY1981","Alaska Fisheries","missing",2,NA,NA,0.00125078173858662
"COWLITZ SALMON HATCHERY1981","Alaska Fisheries","notmissing",43,177.24,0.242608891897991,0.0268918073796123
"COWLITZ SALMON HATCHERY1981","Boundary Waters Sport","notmissing",3,10.21,0.29382957884427,0.00187617260787992
"COWLITZ SALMON HATCHERY1981","Canadian Fisheries","notmissing",115,453.42,0.253627982885625,0.0719199499687305
"COWLITZ SALMON HATCHERY1981","Columbia commercial/treaty","notmissing",32,123.26,0.259613824436151,0.0200125078173859
"COWLITZ SALMON HATCHERY1981","Escapement","notmissing",1260,1298.48,0.970365350255684,0.787992495309568
"COWLITZ SALMON HATCHERY1981","Oregon Fisheries","notmissing",16,40.82,0.391964723174914,0.0100062539086929
"COWLITZ SALMON HATCHERY1981","WA Coastal Commercial/Treaty","notmissing",83,219.68,0.377822286962855,0.0519074421513446
"COWLITZ SALMON HATCHERY1981","WA Coastal Sport","notmissing",45,107.94,0.416898276820456,0.0281425891181989
"COWLITZ SALMON HATCHERY1982","Alaska Fisheries","notmissing",16,44.42,0.360198108959928,0.0149812734082397
"COWLITZ SALMON HATCHERY1982","Boundary Waters Sport","notmissing",1,4.14,0.241545893719807,0.000936329588014981
"COWLITZ SALMON HATCHERY1982","Canadian Fisheries","notmissing",85,391.26,0.217246843531156,0.0795880149812734
"COWLITZ SALMON HATCHERY1982","Columbia commercial/treaty","notmissing",9,32.82,0.274223034734918,0.00842696629213483
"COWLITZ SALMON HATCHERY1982","Escapement","notmissing",892,916.94,0.972800837568434,0.835205992509363
"COWLITZ SALMON HATCHERY1982","Oregon Fisheries","notmissing",13,25.61,0.50761421319797,0.0121722846441948
"COWLITZ SALMON HATCHERY1982","WA Coastal Commercial/Treaty","notmissing",45,125.4,0.358851674641148,0.0421348314606742
"COWLITZ SALMON HATCHERY1982","WA Coastal Sport","notmissing",7,27.31,0.256316367630904,0.00655430711610487
"COWLITZ SALMON HATCHERY1983","Alaska Fisheries","notmissing",66,183.15,0.36036036036036,0.0126703781915915
"COWLITZ SALMON HATCHERY1983","Boundary Waters Commercial","notmissing",1,3.14,0.318471337579618,0.000191975427145325
"COWLITZ SALMON HATCHERY1983","Boundary Waters Sport","notmissing",2,12.2,0.163934426229508,0.000383950854290651
"COWLITZ SALMON HATCHERY1983","California Fisheries","notmissing",2,5.86,0.341296928327645,0.000383950854290651
"COWLITZ SALMON HATCHERY1983","Canadian Fisheries","notmissing",224,1131.73,0.197927067410071,0.0430024956805529
"COWLITZ SALMON HATCHERY1983","Columbia commercial/treaty","notmissing",52,172.76,0.300995600833526,0.00998272221155692
"COWLITZ SALMON HATCHERY1983","Columbia Estuary Sport","notmissing",11,41.81,0.26309495336044,0.00211172969859858
"COWLITZ SALMON HATCHERY1983","Escapement","notmissing",4263,4349.89,0.980024782235873,0.818391245920522
"COWLITZ SALMON HATCHERY1983","Oregon Fisheries","notmissing",183,560.89,0.326267182513505,0.0351315031675946
"COWLITZ SALMON HATCHERY1983","WA Coastal Commercial/Treaty","notmissing",300,645.42,0.464813609742493,0.0575926281435976
"COWLITZ SALMON HATCHERY1983","WA Coastal Sport","notmissing",105,262.62,0.399817226410784,0.0201574198502592
"COWLITZ SALMON HATCHERY1984","Alaska Fisheries","notmissing",27,65.28,0.413602941176471,0.0141732283464567
"COWLITZ SALMON HATCHERY1984","Boundary Waters Sport","notmissing",4,54.76,0.0730460189919649,0.0020997375328084
"COWLITZ SALMON HATCHERY1984","Canadian Fisheries","notmissing",242,1031.96,0.234505213380364,0.127034120734908
"COWLITZ SALMON HATCHERY1984","Columbia commercial/treaty","notmissing",41,101.41,0.404299378759491,0.0215223097112861
"COWLITZ SALMON HATCHERY1984","Columbia Estuary Sport","notmissing",5,20.87,0.239578342117873,0.0026246719160105
"COWLITZ SALMON HATCHERY1984","Escapement","notmissing",1228,1263.84,0.971641979997468,0.644619422572179
"COWLITZ SALMON HATCHERY1984","Oregon Fisheries","notmissing",36,136.95,0.262869660460022,0.0188976377952756
"COWLITZ SALMON HATCHERY1984","WA Coastal Commercial/Treaty","notmissing",271,732.1,0.370168009834722,0.142257217847769
"COWLITZ SALMON HATCHERY1984","WA Coastal Sport","notmissing",51,142.84,0.357042845141417,0.0267716535433071
"COWLITZ SALMON HATCHERY1985","Alaska Fisheries","missing",1,NA,NA,0.000954198473282443
"COWLITZ SALMON HATCHERY1985","Alaska Fisheries","notmissing",8,33.9,0.23598820058997,0.00763358778625954
"COWLITZ SALMON HATCHERY1985","Canadian Fisheries","notmissing",71,373.54,0.190073352251432,0.0677480916030534
"COWLITZ SALMON HATCHERY1985","Columbia commercial/treaty","notmissing",34,106.06,0.320573260418631,0.0324427480916031
"COWLITZ SALMON HATCHERY1985","Columbia Estuary Sport","notmissing",1,3.9,0.256410256410256,0.000954198473282443
"COWLITZ SALMON HATCHERY1985","Escapement","notmissing",702,727.31,0.96520053347266,0.669847328244275
"COWLITZ SALMON HATCHERY1985","Oregon Fisheries","notmissing",22,92.23,0.238534099533774,0.0209923664122137
"COWLITZ SALMON HATCHERY1985","WA Coastal Commercial/Treaty","notmissing",160,458.68,0.348827068980553,0.152671755725191
"COWLITZ SALMON HATCHERY1985","WA Coastal Sport","notmissing",49,122.69,0.399380552612275,0.0467557251908397
"COWLITZ SALMON HATCHERY1986","Alaska Fisheries","notmissing",31,66.77,0.464280365433578,0.0201691607026675
