"hatchery","stock","release_site","brood_year","tag_code","first_release_month","first_release_doy","last_release_doy","avg_weight","release_age","avg_length","Releases","Raw_Recoveries","Exp_Recoveries","SampleRate_obs","Raw_SAR","Expanded_Tags_Type"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2010,"635686",4,109,109,22.61,2,NA,267703,1291,4425.83,0.291696698698323,0.016533,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2010,"635774",4,109,109,52.98,2,NA,268094,1666,6018.96,0.276792003934234,0.022451,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2011,"635668",4,101,101,43.57,2,NA,105957,379,1418.79,0.267129032485428,0.01339,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2011,"636281",4,101,101,45.35,2,NA,188875,614,2399.59,0.255877045661967,0.012705,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2011,"636282",4,101,101,40.06,2,NA,176909,788,2916.18,0.270216516127262,0.016484,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2011,"636283",4,101,101,41.42,2,NA,108316,955,3357.08,0.284473411417065,0.030993,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2012,"636481",4,105,105,18.28,2,NA,141015,470,1818.13,0.258507367459973,0.012893,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2012,"636482",4,105,105,19.05,2,NA,137440,420,1603.04,0.262002195827927,0.011664,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2012,"636483",4,105,105,16.19,2,NA,133004,407,1563.57,0.260301745364774,0.011756,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2012,"636484",4,105,105,18.89,2,NA,143532,393,1513.15,0.259723094207448,0.010542,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2013,"636621",4,105,105,33.32,2,146,51816,152,553.41,0.274660739777019,0.01068,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2013,"636647",4,105,105,33.32,2,146,95388,275,1012.84,0.271513763279491,0.010618,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2013,"636650",4,105,105,31.11,2,144,146376,372,1369.79,0.271574474919513,0.009358,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2013,"636651",4,105,105,19.68,2,126,148917,195,646.62,0.301568154402895,0.004342,"RMIS"
"CHELAN FALLS HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2013,"636652",4,105,105,23,2,168,147247,290,985.08,0.294392333617574,0.00669,"RMIS"
"CHELAN FALLS HATCHERY",NA,"CHELAN R     47.0052",2014,"636806",4,106,106,35.99,2,147,116704,331,1126.95,0.293713119481787,0.009656,"RMIS"
"CHELAN FALLS HATCHERY",NA,"CHELAN R     47.0052",2014,"636807",4,106,106,36.78,2,146,119043,183,596.4,0.306841046277666,0.00501,"RMIS"
"CHELAN FALLS HATCHERY",NA,"CHELAN R     47.0052",2014,"636808",4,106,106,26.49,2,135,118086,338,1148.65,0.294258477342968,0.009727,"RMIS"
"CHELAN FALLS HATCHERY",NA,"CHELAN R     47.0052",2014,"636809",4,106,106,17.87,2,123,108882,138,541.08,0.255045464626303,0.004969,"RMIS"
"CHELAN PUD HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2007,"634693",4,119,119,51.66,2,NA,52932,137,457.02,0.299768062666842,0.008634,"RMIS"
"CHELAN PUD HATCHERY","WELLS HATCHERY","CHELAN R     47.0052",2007,"634695",4,119,119,39.64,2,NA,47192,233,715.58,0.325609994689622,0.015163,"RMIS"
"CHELAN RIVER NP","WELLS HATCHERY","CHELAN R     47.0052",2008,"635177",4,119,119,64.79,2,NA,97355,446,1532.24,0.291077115856524,0.015739,"RMIS"
"CHELAN RIVER NP","WELLS HATCHERY","CHELAN R     47.0052",2008,"635178",4,119,119,64.79,2,NA,99765,510,1800.95,0.28318387517699,0.018052,"RMIS"
"CHELAN RIVER NP","WELLS HATCHERY","CHELAN R     47.0052",2009,"635088",4,120,120,45.35,2,NA,185688,403,1508.54,0.267145717050923,0.008124,"RMIS"
"CHELAN RIVER NP","WELLS HATCHERY","CHELAN R     47.0052",2009,"635373",6,158,158,12.25,1,NA,341242,60,160.72,0.37332005973121,0.000471,"RMIS"
"TURTLE ROCK HATCHERY","METHOW & OKANOGAN","COLUMBIA R - GENERAL",2002,"631373",4,109,109,50.39,2,180,209731,139,465.26,0.298757683875682,0.002218,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","CHELAN R + COLUMBIA R",2005,"633595",5,132,132,43.61,2,161,200774,470,1486.19,0.316244894663536,0.007402,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1995,"634607",4,107,107,60.47,2,171,143691,403,971.78,0.414702916297928,0.006763,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1995,"635846",6,179,179,12.59,1,102,197634,90,199.29,0.451603191329219,0.001008,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1995,"635963",6,180,180,27.16,1,128,164865,9,12.89,0.698215671062839,7.8e-05,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1996,"630120",6,181,181,15.58,1,106,192585,50,97.39,0.513399733032139,0.000506,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1996,"630123",6,181,181,7.37,1,87,187007,32,79.47,0.40266767333585,0.000425,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1996,"636324",6,181,181,15.58,1,106,175169,41,82.88,0.49469111969112,0.000473,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1997,"630214",6,177,177,18.82,1,117,490721,7,17.06,0.41031652989449,3.5e-05,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1997,"630516",6,177,177,10.19,1,97,192649,3,3.01,0.996677740863787,1.6e-05,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1997,"630606",4,111,111,74.35,2,175,194652,1378,4456.88,0.309184900647987,0.022897,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1998,"630631",6,174,174,19.38,1,118,178293,19,69.68,0.272675086107922,0.000391,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1998,"630937",6,169,169,9.48,1,96,189557,5,27.32,0.183016105417277,0.000144,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1999,"630177",7,187,187,18.89,1,114,186899,287,863.32,0.332437566603345,0.004619,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",1999,"631006",7,187,187,9.86,1,89,184624,63,197.85,0.318423047763457,0.001072,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2000,"630274",4,107,107,90.71,2,NA,113236,48,154.8,0.310077519379845,0.001367,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2000,"630781",4,102,102,75.59,2,NA,165072,529,1788.52,0.29577527788339,0.010835,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2001,"630889",4,102,102,64.79,2,NA,95339,306,1021.38,0.299594666040063,0.010713,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2001,"630891",4,120,120,53.99,2,NA,175666,1099,3620.25,0.303570195428493,0.020609,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2001,"630893",7,183,183,13.34,1,104,206950,116,322.64,0.359533845772378,0.001559,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2001,"630894",7,183,183,19.72,1,116,192817,52,169.39,0.306983883346124,0.000879,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2002,"631778",6,176,176,18.14,1,NA,200165,1,5.1,0.196078431372549,2.5e-05,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2002,"631779",7,183,183,9.86,1,NA,200163,11,38.95,0.282413350449294,0.000195,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2007,"634694",5,127,127,49.3,2,167,57496,228,736.15,0.309719486517693,0.012803,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2008,"634778",5,127,127,40.64,2,40,92961,647,1921.15,0.336777451005908,0.020666,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2008,"634791",6,162,162,16.79,1,126,196681,15,35.67,0.420521446593776,0.000181,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2008,"634792",6,162,162,9.86,1,105,152421,21,74.25,0.282828282828283,0.000487,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2008,"635164",5,127,127,40.64,2,40,58098,504,1448.6,0.347922131713378,0.024934,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2008,"635179",5,127,127,40.64,2,40,94793,809,2385.72,0.339100984189259,0.025168,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2009,"635087",5,122,122,55.18,2,173,179070,1094,2225.3,0.491619107536063,0.012427,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COL R @ TURTLE ROCK",2009,"635577",5,122,122,55.18,2,173,57108,511,1095.61,0.466406841850659,0.019185,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",1996,"630124",4,105,105,69.78,2,165,173449,541,1431.25,0.377991266375546,0.008252,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R-1",1998,"631032",4,109,109,46.28,2,NA,215646,1510,5427.09,0.278233823282827,0.025167,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",1999,"630470",4,107,107,69.78,2,174,275766,779,2555.3,0.304856572613783,0.009266,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2000,"630667",6,177,177,17.44,1,110,188698,21,64.98,0.323176361957525,0.000344,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2000,"630671",6,180,180,10.79,1,99,191098,10,28.13,0.355492356914326,0.000147,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2002,"631007",5,133,133,38.76,2,167,191921,796,2437.79,0.326525254431268,0.012702,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2003,"631787",6,181,181,20.61,1,121,185834,1,1.96,0.510204081632653,1.1e-05,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2003,"631788",6,182,182,11.63,1,116,203410,15,48.06,0.31210986267166,0.000236,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2003,"632577",5,122,122,58.15,2,190,194605,631,1968.35,0.320573068813981,0.010115,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2004,"632578",6,178,178,18.89,1,142,182386,53,143.27,0.369930899699867,0.000786,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2004,"632781",6,178,178,11.93,1,112,189612,34,78.81,0.431417332825784,0.000416,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2004,"633094",5,121,121,58.9,2,190,198030,742,2387.27,0.310815282728807,0.012055,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2005,"633093",7,184,184,6.57,1,92,194796,51,136.14,0.374614367562803,0.000699,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2005,"633170",7,184,184,13.74,1,118,187714,34,77.74,0.437355286853615,0.000414,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2006,"633378",7,184,184,20.34,1,121,185025,61,186.05,0.327868852459016,0.001006,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2006,"633881",7,184,184,9.37,1,94,186782,100,326.04,0.306710833026622,0.001746,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2007,"633896",6,172,172,14.63,1,111,186141,104,317.62,0.327435300044078,0.001706,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2007,"633897",6,172,172,9.25,1,93,192893,72,226.12,0.318415000884486,0.001172,"RMIS"
"TURTLE ROCK HATCHERY","WELLS HATCHERY","LK CHELAN + COLUMBIA R",2006,"633895",5,130,130,53.99,2,158,142699,1041,3758.46,0.276975144074967,0.026338,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COL R ROCKY R-WELLS",1996,"636054",6,169,169,19.72,1,114,228692,211,322.14,0.654994722791333,0.001409,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COL R ROCKY R-WELLS",1996,"636323",6,169,169,19.72,1,114,226869,179,327.42,0.546698430150876,0.001443,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR METHOW",2003,"632371",5,132,132,11.33,1,94,192343,51,104.81,0.486594790573419,0.000545,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",1995,"635841",6,165,165,18.14,1,112,225622,60,91.34,0.656886358659952,0.000405,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",1995,"636044",6,165,165,18.14,1,112,156554,21,26.09,0.804906094289,0.000167,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",1996,"630134",4,105,105,60.47,2,177,189531,443,846.05,0.523609715737841,0.004464,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",1996,"630217",4,105,105,60.47,2,177,136076,329,618.08,0.532293554232462,0.004542,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",1997,"630611",4,105,105,75.59,2,202,362681,3909,9963.84,0.392318624144908,0.027473,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",1998,"631018",6,169,169,18.28,1,116,354489,120,334.76,0.358465766519297,0.000944,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",1998,"631061",4,109,109,64.79,2,183,428724,3384,9286.89,0.364384632530374,0.021662,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",1999,"630468",4,106,106,45.35,2,159,304511,477,1491,0.319919517102616,0.004896,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2000,"630995",4,105,105,47.24,2,161,328308,2884,8016.35,0.359764730831363,0.024417,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2001,"631423",6,168,168,22.67,1,117,361652,292,785.53,0.371723549705295,0.002172,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2001,"631549",4,111,111,45.35,2,155,179183,951,2572.01,0.369749728811319,0.014354,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2002,"631368",6,167,167,15.11,1,108,233322,18,47.59,0.378230720739651,0.000204,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2002,"631370",6,167,167,15.11,1,108,229339,25,78.43,0.318755578222619,0.000342,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2002,"631890",4,110,110,46.76,2,156,301187,1520,3714.45,0.409212669439621,0.012333,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2007,"634287",4,105,105,53.99,2,174,132885,182,556.57,0.327002892717897,0.004188,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2007,"634390",4,105,105,53.99,2,174,173302,273,753.28,0.362415038232795,0.004347,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2008,"634876",5,131,131,8.57,1,88,415129,211,520.99,0.404998176548494,0.001255,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2008,"635092",4,106,106,55.99,2,172,169077,1081,2652.14,0.407595375809723,0.015686,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2008,"635093",4,106,106,55.99,2,172,162447,994,2404.02,0.413474097553265,0.014799,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2009,"635280",4,105,105,43.61,2,164,116824,695,1632.9,0.425623124502419,0.013977,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2009,"635364",4,105,105,43.61,2,164,198601,1418,3374.4,0.420222854433381,0.016991,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2009,"635375",5,134,134,6.71,1,83,469024,806,1741.12,0.462920419040618,0.003712,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2010,"635770",4,106,106,45.35,2,164,272131,1148,2734.67,0.419794710147842,0.010049,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2010,"635775",5,139,139,9.94,1,89,432814,818,1640.86,0.498519069268554,0.003791,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2010,"635964",4,106,106,45.35,2,164,77755,332,873.64,0.380019229888741,0.011236,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2011,"635773",4,106,106,50.39,2,163,289476,3150,10050.79,0.313408199753452,0.034721,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2011,"636370",5,137,137,9.86,1,93,491398,785,2277.76,0.344636836189941,0.004635,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2012,"636463",5,140,140,8.89,1,87,50840,128,483.02,0.264999378907706,0.009501,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2012,"636504",4,105,105,45.35,2,168,318328,1330,4525.8,0.293870696893367,0.014217,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2012,"636505",5,140,140,8.89,1,87,434716,1104,3602.92,0.30641812751879,0.008288,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2013,"636678",4,106,106,46.76,2,164,335312,1224,4044.7,0.302618241155092,0.012062,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2013,"636680",5,148,148,6.97,1,91,439067,266,1103.92,0.240959489818103,0.002514,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2014,"636762",4,106,106,45.35,2,164,50136,187,563.23,0.332013564618362,0.011234,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2014,"636835",5,147,147,6.97,1,80,413255,39,112.11,0.347872625100348,0.000271,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA NEAR WELLS",2014,"636879",4,106,106,45.35,2,164,295633,1129,3605.34,0.313146610305824,0.012195,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",1995,"634129",4,91,91,52.49,2,165,182308,362,649.85,0.557051627298607,0.003565,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",1995,"634130",4,91,91,52.49,2,165,96143,203,396.74,0.511670111407975,0.004127,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",1997,"630602",6,155,155,13.74,1,NA,513000,94,225.23,0.417351152155574,0.000439,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",1999,"630267",6,171,171,24.51,1,122,340761,190,504.74,0.376431430043191,0.001481,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2000,"630775",6,171,171,16.79,1,111,490873,80,186.43,0.42911548570509,0.00038,"RMIS"
"WELLS HATCHERY","WELLS HATCHERY","COLUMBIA R - GENERAL",2003,"632370",6,166,166,18.89,1,115,200294,17,36,0.472222222222222,0.00018,"RMIS"
