"release_group","MPR_Groupings","ExpansionStatus","Raw_Recoveries","Exp_Recoveries","SampleRate_obs","Proportion_of_group_raw_recoveries"
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","Alaska Fisheries","notmissing",524,1855.17,0.282453899103586,0.177206628339533
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","California Fisheries","notmissing",2,8.08,0.247524752475248,0.000676361176868448
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","Canadian Fisheries","notmissing",244,866.06,0.28173567651202,0.0825160635779506
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","Columbia commercial/treaty","notmissing",629,3452.16,0.182204764553207,0.212715590125127
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","Columbia Estuary Sport","notmissing",1,5.86,0.170648464163823,0.000338180588434224
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","Escapement","missing",1,NA,NA,0.000338180588434224
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","Escapement","notmissing",1006,2089.07,0.481553992925082,0.340209671964829
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","Oregon Fisheries","notmissing",108,353.06,0.305897014671727,0.0365235035508962
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","Terminal Sport","missing",3,NA,NA,0.00101454176530267
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","Terminal Sport","notmissing",182,1240.22,0.146748157584945,0.0615488670950287
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","WA Coastal Commercial/Treaty","missing",1,NA,NA,0.000338180588434224
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","WA Coastal Commercial/Treaty","notmissing",208,462.13,0.450089801570987,0.0703415623943186
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052","WA Coastal Sport","notmissing",46,97.93,0.469723271724701,0.0155563070679743
"CHELAN FALLS HATCHERY2010CHELAN R     47.0052",NA,"notmissing",2,10.05,0.199004975124378,0.000676361176868448
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","Alaska Fisheries","missing",1,NA,NA,0.000365497076023392
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","Alaska Fisheries","notmissing",653,1784.26,0.365978052525977,0.238669590643275
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","Boundary Waters Sport","notmissing",1,11.6,0.0862068965517241,0.000365497076023392
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","California Fisheries","notmissing",6,20.78,0.288739172281039,0.00219298245614035
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","Canadian Fisheries","notmissing",239,806.18,0.296459847676697,0.0873538011695906
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","Columbia commercial/treaty","notmissing",392,2665.64,0.147056616797467,0.14327485380117
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","Columbia Estuary Sport","notmissing",2,5.15,0.388349514563107,0.000730994152046784
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","Escapement","notmissing",983,2839.98,0.346129198092944,0.359283625730994
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","Oregon Fisheries","notmissing",92,253.51,0.362904816378052,0.033625730994152
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","Terminal Sport","missing",1,NA,NA,0.000365497076023392
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","Terminal Sport","notmissing",190,1333.35,0.142498218772265,0.0694444444444444
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","WA Coastal Commercial/Treaty","notmissing",152,297.89,0.510255463426097,0.0555555555555556
"CHELAN FALLS HATCHERY2011CHELAN R     47.0052","WA Coastal Sport","notmissing",24,71.3,0.336605890603086,0.0087719298245614
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","Alaska Fisheries","missing",5,NA,NA,0.0029585798816568
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","Alaska Fisheries","notmissing",344,850.66,0.404391883948934,0.203550295857988
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","Boundary Waters Sport","notmissing",1,18.24,0.0548245614035088,0.000591715976331361
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","California Fisheries","notmissing",1,2.73,0.366300366300366,0.000591715976331361
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","Canadian Fisheries","notmissing",195,782.48,0.249207647479808,0.115384615384615
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","Columbia commercial/treaty","notmissing",240,1816.41,0.132128759476109,0.142011834319527
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","Columbia Estuary Sport","notmissing",1,2.27,0.440528634361233,0.000591715976331361
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","Escapement","notmissing",654,1900.59,0.344103673069941,0.38698224852071
