run_year,CowlitzR_hr,total_age
1980,0.589694656,2
1981,0.203225806,2
1982,0.171584699,2
1983,0.178138942,2
1984,0.104240283,2
1985,0.073181231,2
1986,0.111417323,2
1987,0.200231929,2
1988,0.023757149,2
1989,0.025568182,2
1990,0.01640159,2
1991,0.220749381,2
1992,0.058307927,2
1993,0,2
1994,0,2
1995,0,2
1996,0,2
1997,0,2
1998,0,2
1999,0,2
2000,0,2
2001,0,2
2002,0.176814035,2
2003,0.25367352,2
2004,0.084505273,2
2005,0.121766627,2
2006,0.065963061,2
2007,0.096951987,2
2008,0.12657796,2
2009,0.181153004,2
2010,0.141358315,2
2011,0.358176981,2
2012,0.351637431,2
2013,0.20030501,2
2014,0.290075874,2
2015,0.322334662,2
2016,0.398558244,2
2017,0,2
2018,0,2
2019,0,2
1980,0.657328145,3
1981,0.477382521,3
1982,0.496943545,3
1983,0.604914197,3
1984,0.391020999,3
1985,0.077605322,3
1986,0.193110385,3
1987,0.3541013,3
1988,0.299319728,3
1989,0.230769231,3
1990,0.60923913,3
1991,0.502459016,3
1992,0.195153061,3
1993,0.511627907,3
1994,0.43231441,3
1995,0.040229885,3
1996,0.111940299,3
1997,0.125827815,3
1998,0.025839793,3
1999,0.099462366,3
2000,0.325203252,3
2001,0.005059022,3
2002,0.177220416,3
2003,0.213788985,3
2004,0.077380385,3
2005,0.071251093,3
2006,0.059183673,3
2007,0.094916424,3
2008,0.126355456,3
2009,0.155228856,3
2010,0.139012949,3
2011,0.35062778,3
2012,0.345084314,3
2013,0.198601219,3
2014,0.287333569,3
2015,0.32108107,3
2016,0.396053957,3
2017,0.427141268,3
2018,0.442857143,3
2019,0.026041667,3
1980,0.391067255,4
1981,0.238786077,4
1982,0.445548833,4
1983,0.395734208,4
1984,0.344778509,4
1985,0.290639052,4
1986,0.285627898,4
1987,0.245171771,4
1988,0.252055498,4
1989,0.314041007,4
1990,0.340677614,4
1991,0.384913285,4
1992,0.224409449,4
1993,0.308062916,4
1994,0.361716172,4
1995,0.015625,4
1996,0.015313936,4
1997,0.076635514,4
1998,0,4
1999,0.219979818,4
2000,0.252144082,4
2001,0.038095238,4
2002,0.314830383,4
2003,0.056528662,4
2004,0.050009677,4
2005,0.142803729,4
2006,0.132284889,4
2007,0.220624711,4
2008,0.200164161,4
2009,0.350667313,4
2010,0.259840821,4
2011,0.533831802,4
2012,0.459405505,4
2013,0.433695834,4
2014,0.368308917,4
2015,0.318729526,4
2016,0.377388579,4
2017,0.501502957,4
2018,0.279475242,4
2019,0.006410256,4
1980,0.200805173,5
1981,0.082659809,5
1982,0.27325053,5
1983,0.243297587,5
1984,0.387612613,5
1985,0.303787583,5
1986,0.31462141,5
1987,0.119335347,5
1988,0.248231653,5
1989,0.187023782,5
1990,0.304958315,5
1991,0.379842304,5
1992,0.069906223,5
1993,0.301878914,5
1994,0.325724861,5
1995,0.014656144,5
1996,0.01754386,5
1997,0.07605985,5
1998,0,5
1999,0.253246753,5
2000,0.208232446,5
2001,0.029953917,5
2002,0.128443371,5
2003,0.409244836,5
2004,0.267144447,5
2005,0.136442772,5
2006,0.126111325,5
2007,0.153805633,5
2008,0.205156636,5
2009,0.026130436,5
2010,0.225588826,5
2011,0.121901,5
2012,0.481811044,5
2013,0.396422306,5
2014,0.145072024,5
2015,0.371358678,5
2016,0.421821029,5
2017,0.221780954,5
2018,0.305232041,5
2019,0.008130081,5
1980,0.358108108,6
1981,0.092741935,6
1982,0.348314607,6
1983,0,6
1984,0,6
1985,1,6
1986,0,6
1987,0,6
1988,0,6
1989,0.271428571,6
1990,0.649462366,6
1991,0.258426966,6
1992,0,6
1993,0,6
1994,0,6
1995,0.031746032,6
1996,0.04,6
1997,0.2,6
1998,0,6
1999,0,6
2000,0.297297297,6
2001,0,6
2002,0,6
2003,0,6
2004,1,6
2005,0.276732367,6
2006,0,6
2007,0,6
2008,0,6
2009,0,6
2010,0,6
2011,0,6
2012,0,6
2013,0,6
2014,1,6
2015,0,6
2016,0,6
2017,0.223447951,6
2018,0.852532963,6
2019,0,6
1980,0.32519264,Total
1981,0.19182694,Total
1982,0.356415163,Total
1983,0.3729274,Total
1984,0.353308013,Total
1985,0.294823933,Total
1986,0.292150171,Total
1987,0.235388978,Total
1988,0.250060793,Total
1989,0.247236905,Total
1990,0.348908008,Total
1991,0.382001118,Total
1992,0.206123829,Total
1993,0.306301544,Total
1994,0.341695776,Total
1995,0.015699334,Total
1996,0.016228316,Total
1997,0.076718167,Total
1998,0,Total
1999,0.237312711,Total
2000,0.244656662,Total
2001,0.033561218,Total
2002,0.305907584,Total
2003,0.187100414,Total
2004,0.117241379,Total
2005,0.142689934,Total
2006,0.125124982,Total
2007,0.185054279,Total
2008,0.200134318,Total
2009,0.313346548,Total
2010,0.251654092,Total
2011,0.481873954,Total
2012,0.452228521,Total
2013,0.405681259,Total
2014,0.33373523,Total
2015,0.317235134,Total
2016,0.381200619,Total
2017,0.382542071,Total
2018,0.289677126,Total
2019,0.006397953,Total
